assembly,province,constituency_code,total_male_reg,total_female_reg,total_voter_reg
Provincial,Punjab,PP-47,117453,87262,204715
Provincial,Punjab,PP-48,121979,90558,212537
Provincial,Punjab,PP-49,108713,81800,190513
Provincial,Punjab,PP-5,127685,113265,240950
Provincial,Punjab,PP-51,129922,104589,234511
Provincial,Punjab,PP-53,104959,75873,180832
Provincial,Punjab,PP-55,85388,63785,149173
Provincial,Punjab,PP-56,102603,75533,178136
Provincial,Punjab,PP-58,110970,89866,200836
Provincial,Punjab,PP-60,39367,30431,69798
Provincial,Punjab,PP-65,2177,600,2777
Provincial,Punjab,PP-67,142393,104636,247029
Provincial,Punjab,PP-68,145960,115945,261905
Provincial,Punjab,PP-69,128315,96826,225141
Provincial,Punjab,PP-70,130762,104106,234868
Provincial,Punjab,PP-71,118963,88729,207692
Provincial,Punjab,PP-72,135214,109979,245193
Provincial,Punjab,PP-73,135695,112726,248421
Provincial,Punjab,PP-74,121447,92349,213796
Provincial,Punjab,PP-75,123841,100700,224541
Provincial,Punjab,PP-77,119535,103354,222889
Provincial,Punjab,PP-78,106165,92069,198234
Provincial,Punjab,PP-80,122580,99587,222167
Provincial,Punjab,PP-81,121223,102098,223321
Provincial,Punjab,PP-82,143097,129005,272102
Provincial,Punjab,PP-83,152232,136338,288570
Provincial,Punjab,PP-84,142516,124070,266586
Provincial,Punjab,PP-85,127174,106257,233431
Provincial,Punjab,PP-86,119862,103523,223385
Provincial,Punjab,PP-88,122092,99329,221421
Provincial,Punjab,PP-89,69421,57139,126560
Provincial,Punjab,PP-90,5202,3227,8429
Provincial,Punjab,PP-91,123022,97687,220709
Provincial,Punjab,PP-92,116207,97156,213363
Provincial,Punjab,PP-94,100196,82043,182239
Provincial,Punjab,PP-95,99777,80657,180434
Provincial,Punjab,PP-96,104040,82517,186557
Provincial,Punjab,PP-97,110739,85112,195851
Provincial,Punjab,PP-98,109896,82974,192870
Provincial,Punjab,PP-99,2147,1657,3804
Provincial,Sindh,PS-100,69776,53307,123083
Provincial,Sindh,PS-101,82224,71920,154144
Provincial,Sindh,PS-107,124097,97264,221361
Provincial,Sindh,PS-108,120342,87382,207724
Provincial,Sindh,PS-109,131449,105032,236481
Provincial,Sindh,PS-110,130234,106451,236685
Provincial,Sindh,PS-111,94531,83870,178401
Provincial,Sindh,PS-113,83687,52617,136304
Provincial,Sindh,PS-114,98409,67571,165980
Provincial,Sindh,PS-115,116223,81956,198179
Provincial,Sindh,PS-117,104356,73059,177415
Provincial,Sindh,PS-120,107836,68212,176048
Provincial,Sindh,PS-121,72836,47050,119886
Provincial,Sindh,PS-122,19086,13241,32327
Provincial,Sindh,PS-123,8008,4789,12797
Provincial,Sindh,PS-13,868,0,868
Provincial,Sindh,PS-130,128510,109828,238338
Provincial,Sindh,PS-16,87836,67941,155777
Provincial,Sindh,PS-18,100661,71819,172480
Provincial,Sindh,PS-19,104370,83422,187792
Provincial,Sindh,PS-20,92945,69796,162741
Provincial,Sindh,PS-21,98207,74854,173061
Provincial,Sindh,PS-22,58363,46275,104638
Provincial,Sindh,PS-23,81059,66411,147470
Provincial,Sindh,PS-24,95878,81044,176922
Provincial,Sindh,PS-25,102081,87038,189119
Provincial,Sindh,PS-27,84021,69217,153238
Provincial,Sindh,PS-28,81425,65367,146792
Provincial,Sindh,PS-29,81193,63970,145163
Provincial,Sindh,PS-30,86255,68456,154711
Provincial,Sindh,PS-31,83337,70101,153438
Provincial,Sindh,PS-32,0,861,861
Provincial,Sindh,PS-36,103035,83402,186437
Provincial,Sindh,PS-39,91205,81480,172685
Provincial,Sindh,PS-4,1817,455,2272
Provincial,Sindh,PS-40,6510,4440,10950
Provincial,Sindh,PS-41,80028,62779,142807
Provincial,Sindh,PS-42,29486,19905,49391
Provincial,Sindh,PS-43,7504,7297,14801
Provincial,Sindh,PS-44,44796,37945,82741
Provincial,Sindh,PS-45,48629,41433,90062
Provincial,Sindh,PS-46,8091,8748,16839
Provincial,Sindh,PS-47,109395,89473,198868
Provincial,Sindh,PS-48,83964,67772,151736
Provincial,Sindh,PS-5,86640,68361,155001
Provincial,Sindh,PS-50,92239,74916,167155
Provincial,Sindh,PS-51,90997,79322,170319
Provincial,Sindh,PS-52,75440,62563,138003
Provincial,Sindh,PS-53,82030,71515,153545
Provincial,Sindh,PS-54,42429,33029,75458
Provincial,Sindh,PS-55,65124,49496,114620
Provincial,Sindh,PS-56,4357,3590,7947
Provincial,Sindh,PS-57,1126,0,1126
Provincial,Sindh,PS-58,95102,83946,179048
Provincial,Sindh,PS-59,87792,76066,163858
Provincial,Sindh,PS-63,36605,32065,68670
Provincial,Sindh,PS-68,80240,66951,147191
Provincial,Sindh,PS-69,70183,56571,126754
Provincial,Sindh,PS-7,75368,63515,138883
Provincial,Sindh,PS-70,77497,64184,141681
Provincial,Sindh,PS-75,89491,77362,166853
Provincial,Sindh,PS-76,56331,46839,103170
Provincial,Sindh,PS-8,97555,84700,182255
Provincial,Sindh,PS-81,77146,57873,135019
Provincial,Sindh,PS-82,76470,64319,140789
Provincial,Sindh,PS-89,114136,79580,193716
Provincial,Sindh,PS-9,107699,89129,196828
Provincial,Sindh,PS-90,71158,47338,118496
Provincial,Sindh,PS-93,16907,15425,32332
Provincial,Sindh,PS-96,105992,76247,182239
Provincial,Sindh,PS-99,38812,18732,57544
