"assembly","province","constituency_code","total_male_reg","total_female_reg","total_voter_reg"
"National Assembly","Sindh","NA-249",176570,115573,292143
"National Assembly","Sindh","NA-250",9906,5170,15076
"National Assembly","Sindh","NA-251",238438,165803,404241
"National Assembly","Sindh","NA-252",133060,84972,218032
"Provincial Assembly","Balochistan","PB-1",60523,44292,104815
"Provincial Assembly","Balochistan","PB-11",53269,41177,94446
"Provincial Assembly","Balochistan","PB-12",32485,20784,53269
"Provincial Assembly","Balochistan","PB-13",61556,49959,111515
"Provincial Assembly","Balochistan","PB-14",58048,50948,108996
"Provincial Assembly","Balochistan","PB-15",46986,43285,90271
"Provincial Assembly","Balochistan","PB-16",34792,24314,59106
"Provincial Assembly","Balochistan","PB-17",60301,39564,99865
"Provincial Assembly","Balochistan","PB-2",70656,51736,122392
"Provincial Assembly","Balochistan","PB-27",45383,35975,81358
"Provincial Assembly","Balochistan","PB-33",49445,36520,85965
"Provincial Assembly","Balochistan","PB-34",53383,37182,90565
"Provincial Assembly","Balochistan","PB-37",27321,16813,44134
"Provincial Assembly","Balochistan","PB-42",947,823,1770
"Provincial Assembly","Balochistan","PB-45",22661,19131,41792
"Provincial Assembly","Balochistan","PB-46",32150,23101,55251
"Provincial Assembly","Balochistan","PB-47",19389,17188,36577
"Provincial Assembly","Balochistan","PB-48",19264,13142,32406
"Provincial Assembly","Balochistan","PB-6",59151,47340,106491
"Provincial Assembly","Balochistan","PB-7",74205,53691,127896
"Provincial Assembly","Balochistan","PB-8",38515,29955,68470
"Provincial Assembly","Balochistan","PB-9",38793,20238,59031
"Provincial Assembly","KPK","PK-1",151219,118360,269579
"Provincial Assembly","KPK","PK-10",90843,58899,149742
"Provincial Assembly","KPK","PK-12",89411,58572,147983
"Provincial Assembly","KPK","PK-13",1653,1062,2715
"Provincial Assembly","KPK","PK-16",25841,17343,43184
"Provincial Assembly","KPK","PK-17",2440,699,3139
"Provincial Assembly","KPK","PK-18",96923,67822,164745
"Provincial Assembly","KPK","PK-2",91108,64915,156023
"Provincial Assembly","KPK","PK-20",88989,65281,154270
"Provincial Assembly","KPK","PK-21",76077,62128,138205
"Provincial Assembly","KPK","PK-22",72572,57516,130088
"Provincial Assembly","KPK","PK-23",111916,86698,198614
"Provincial Assembly","KPK","PK-25",28786,19733,48519
"Provincial Assembly","KPK","PK-29",87968,60678,148646
"Provincial Assembly","KPK","PK-3",81391,63924,145315
"Provincial Assembly","KPK","PK-30",107196,78472,185668
"Provincial Assembly","KPK","PK-31",80420,70132,150552
"Provincial Assembly","KPK","PK-33",30946,25000,55946
"Provincial Assembly","KPK","PK-34",59812,45269,105081
"Provincial Assembly","KPK","PK-36",128288,106734,235022
"Provincial Assembly","KPK","PK-4",83398,62835,146233
"Provincial Assembly","KPK","PK-40",134209,117450,251659
"Provincial Assembly","KPK","PK-41",115615,97111,212726
"Provincial Assembly","KPK","PK-42",71259,56040,127299
"Provincial Assembly","KPK","PK-43",97335,74921,172256
"Provincial Assembly","KPK","PK-45",101969,81071,183040
"Provincial Assembly","KPK","PK-47",99114,76094,175208
"Provincial Assembly","KPK","PK-49",90698,69319,160017
